method,path,command,domain,scope
PUT,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId}/disable,DisableLogDrainCommand,log,external
PUT,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId}/enable,EnableLogDrainCommand,log,external
PATCH,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId}/reset-cursor,,log,external
GET,/v4/drains/organisations/{ownerId}/resources/{resourceId}/drains/{drainId}/test-command,,log,external
POST,/v2/providers/materia/{layerId}/resources,,materia_incubator,internal
DELETE,/v2/providers/materia/{layerId}/resources/{addonId},,materia_incubator,internal
GET,/v2/providers/materia/{layerId}/resources/{addonId},,materia_incubator,internal
POST,/v2/providers/kv/resources,,materia_kv,internal
DELETE,/v2/providers/kv/resources/{kvId},,materia_kv,internal
GET,/v2/providers/kv/resources/{kvId},,materia_kv,internal
GET,/v4/addon-providers/kv,,materia_kv,internal
DELETE,/v4/materia/organisations/{ownerId}/materia/databases/{kvId},,materia_kv,internal
GET,/v4/materia/organisations/{ownerId}/materia/databases/{kvId},GetMateriaInfoCommand,materia_kv,internal
POST,/v2/providers/addon-ts/resources,,materia_timeseries,internal
DELETE,/v2/providers/addon-ts/resources/{addonTsId},,materia_timeseries,internal
GET,/v4/addon-providers/addon-ts/addons/{addonTsId},,materia_timeseries,admin-only
GET,/v4/addon-providers/addon-ts/addons/{addonTsId}/quota,,materia_timeseries,admin-only
GET,/v4/addon-providers/addon-ts/quotas,,materia_timeseries,internal
GET,/v4/addon-providers/addon-ts/token/revocation,,materia_timeseries,internal
